X,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Log_Sale_Price,dist_HS,dist_MS,dist_PreSch,dist_ES_Sawyer,dist_ES_Mitchell,dist_ES_Meeker,dist_ES_Fellows,dist_ES_Edwards,Neighborhood_Abbr,"Developed, Open Space 300m","Developed, Low Intensity 300m","Developed, Medium Intensity 300m","Developed, High Intensity 300m",Deciduous Forest 300m,Mixed Forest 300m,Pasture/Hay 300m,Woody Wetlands 300m,Cultivated Crops 300m,Open Water 300m,Grassland/Herbaceous 300m,Emergent Herbaceous Wetlands 300m,Barren Land 300m,Evergreen Forest 300m,Shrub/Scrub 300m,geometry...99,Open Water 600m,"Developed, Open Space 600m","Developed, Low Intensity 600m","Developed, Medium Intensity 600m","Developed, High Intensity 600m",Deciduous Forest 600m,Mixed Forest 600m,Pasture/Hay 600m,Cultivated Crops 600m,Woody Wetlands 600m,Emergent Herbaceous Wetlands 600m,Grassland/Herbaceous 600m,Barren Land 600m,Evergreen Forest 600m,Shrub/Scrub 600m,geometry...115,Open Water 1000m,"Developed, Open Space 1000m","Developed, Low Intensity 1000m","Developed, Medium Intensity 1000m","Developed, High Intensity 1000m",Deciduous Forest 1000m,Mixed Forest 1000m,Grassland/Herbaceous 1000m,Pasture/Hay 1000m,Cultivated Crops 1000m,Woody Wetlands 1000m,Emergent Herbaceous Wetlands 1000m,Barren Land 1000m,Evergreen Forest 1000m,Shrub/Scrub 1000m,geometry...131
1,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,141,31770,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,Typical,CBlock,Good,Gd,BLQ,2,Unf,0,441,1080,GasA,Fair,Y,SBrkr,1656,0,1656,1,0,1,0,3,1,7,Typ,2,Attchd,Fin,2,528,Typical,Partial_Pavement,210,62,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,215000,5.3324384599156,2028.60634072791,6214.0714323418,431.101738122045,5241.23729463623,7260.67483697661,1511.05233981193,1425.89886875249,6920.95475073156,North_Ames,0.16991643454038996,0.2479108635097493,0.2785515320334262,0.20055710306406685,0.008356545961002786,0.013927576601671309,0.022284122562674095,0,0.0584958217270195,0,0,0,0,0,NA,"c(-93.619754, 42.054035)",0.012564671101256468,0.1286031042128603,0.23872875092387288,0.1973392461197339,0.1433850702143385,0.026607538802660754,0.008130081300813009,0.019216555801921657,0.07538802660753881,0.12121212121212122,0.022172949002217297,0.0066518847006651885,0,0,0,"c(-93.619754, 42.054035)",0.010566242210782985,0.12408561365483609,0.24979680303440802,0.18043890544567867,0.08154971552424817,0.03630452451910052,0.004876727174207532,0.002438363587103766,0.015172040097534544,0.19046328908154972,0.09292874559739908,0.011379030073150907,0,0,0,"c(-93.619754, 42.054035)"
2,One_Story_1946_and_Newer_All_Styles,Residential_High_Density,80,11622,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Feedr,Norm,OneFam,One_Story,Above_Average,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,CBlock,Typical,No,Rec,6,LwQ,144,270,882,GasA,Typical,Y,SBrkr,896,0,896,0,0,1,0,2,1,5,Typ,0,Attchd,Unf,1,730,Typical,Paved,140,0,0,0,120,0,No_Pool,Minimum_Privacy,None,0,6,2010,WD ,Normal,105000,5.02118929906994,1942.91950780444,6131.80799936826,321.28358325919,5193.53923275966,7149.70529027072,1403.20603399629,1327.27769060484,6850.91884485178,North_Ames,0.16901408450704225,0.2647887323943662,0.2535211267605634,0.2704225352112676,0.014084507042253521,0.014084507042253521,0,0,0.014084507042253521,0,0,0,0,0,NA,"c(-93.619756, 42.053014)",0.013313609467455622,0.11760355029585799,0.246301775147929,0.22633136094674555,0.16937869822485208,0.031804733727810654,0.008136094674556213,0.019230769230769232,0.03772189349112426,0.11242603550295859,0.017011834319526627,7.396449704142012e-4,0,0,0,"c(-93.619756, 42.053014)",0.009766684753119913,0.12669560499186108,0.27753662506782417,0.18773738469886056,0.08166033640803039,0.033098209441128595,0.0032555615843733042,0.0024416711882799783,0.011394465545306565,0.15979381443298968,0.09658166033640803,0.010037981551817688,0,0,0,"c(-93.619756, 42.053014)"
3,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,14267,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,Typical,CBlock,Typical,No,ALQ,1,Unf,0,406,1329,GasA,Typical,Y,SBrkr,1329,0,1329,0,0,1,1,3,1,6,Typ,0,Attchd,Unf,1,312,Typical,Paved,393,36,0,0,0,0,No_Pool,No_Fence,Gar2,12500,6,2010,WD ,Normal,172000,5.23552844690755,1934.77598117578,6124.81992027996,275.04767223555,5205.39564040504,7104.55912504057,1356.00205783986,1309.99710013312,6851.14962475934,North_Ames,0.17597765363128492,0.2877094972067039,0.22905027932960895,0.2346368715083799,0.027932960893854747,0.025139664804469275,0.00558659217877095,0,0.013966480446927373,0,0,0,0,0,NA,"c(-93.6193873, 42.052659)",0.014074074074074074,0.11333333333333333,0.23851851851851852,0.22740740740740742,0.17555555555555555,0.03851851851851852,0.008148148148148147,0.01925925925925926,0.03333333333333333,0.11407407407407408,0.017777777777777778,0,0,0,0,"c(-93.6193873, 42.052659)",0.009761388286334056,0.12554229934924077,0.2814533622559653,0.18492407809110628,0.08161605206073752,0.03253796095444685,0.002982646420824295,0.002440347071583514,0.008947939262472886,0.15862255965292843,0.10140997830802603,0.009761388286334056,0,0,0,"c(-93.6193873, 42.052659)"
4,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93,11160,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,1045,2110,GasA,Excellent,Y,SBrkr,2110,0,2110,1,0,2,1,3,1,8,Typ,2,Attchd,Fin,2,522,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,244000,5.38738982633873,1952.89437605446,6136.8933399478,152.649043438632,5303.13319598439,6915.58397795761,1158.26400694053,1292.02484382595,6896.0285087107,North_Ames,0.2222222222222222,0.39166666666666666,0.18055555555555555,0.03333333333333333,0.09166666666666666,0.030555555555555555,0.005555555555555556,0.041666666666666664,0,0.002777777777777778,0,0,0,0,NA,"c(-93.61732, 42.051245)",0.014716703458425313,0.13392200147167035,0.21339220014716703,0.17292126563649743,0.1780721118469463,0.0706401766004415,0.008094186902133923,0.01839587932303164,0.03679175864606328,0.14422369389256806,0.008830022075055188,0,0,0,0,"c(-93.61732, 42.051245)",0.008964955175224124,0.12496604183645749,0.25944036946481935,0.17875577288780223,0.08122792719369737,0.033143167617495244,0.002988318391741375,0.0024449877750611247,0.007334963325183374,0.17060581363759847,0.11817440912795436,0.0119532735669655,0,0,0,"c(-93.61732, 42.051245)"
5,Two_Story_1946_and_Newer,Residential_Low_Density,74,13830,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,137,928,GasA,Good,Y,SBrkr,928,701,1629,0,0,2,1,3,1,6,Typ,1,Attchd,Fin,2,482,Typical,Paved,212,34,0,0,0,0,No_Pool,Minimum_Privacy,None,0,3,2010,WD ,Normal,189900,5.27852496473702,2332.99486231238,5924.05597286777,2055.97863115036,4355.20922077106,8459.46984134522,3005.26454322344,2206.3080020143602,6351.76031764786,Gilbert,0.10249307479224377,0.34349030470914127,0.5235457063711911,0.013850415512465374,0,0,0.013850415512465374,0,0.002770083102493075,0,0,0,0,0,NA,"c(-93.638933, 42.060899)",0.0014803849000740192,0.1991117690599556,0.2990377498149519,0.3360473723168024,0.01776461880088823,0,0,0.05847520355292376,0.07994078460399703,0,0.0014803849000740192,0.006661732050333087,0,0,0,"c(-93.638933, 42.060899)",0.053203040173724216,0.16666666666666666,0.24294245385450597,0.22204125950054288,0.019543973941368076,0.003528773072747014,0.0043431053203040176,0.013300760043431054,0.09527687296416938,0.15173724212812162,0,0.023887079261672096,0.003528773072747014,0,0,"c(-93.638933, 42.060899)"
6,Two_Story_1946_and_Newer,Residential_Low_Density,78,9978,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,Typical,PConc,Typical,No,GLQ,3,Unf,0,324,926,GasA,Excellent,Y,SBrkr,926,678,1604,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,470,Typical,Paved,360,36,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,195500,5.29114676173189,2319.65362271835,5912.44509480902,2047.77019127254,4346.48431109079,8446.81828613629,2995.030907306,2193.84734249612,6341.53044181167,Gilbert,0.09722222222222222,0.35,0.5277777777777778,0.013888888888888888,0,0,0.011111111111111112,0,0,0,0,0,0,0,NA,"c(-93.638925, 42.060779)",0.0014716703458425313,0.1986754966887417,0.30022075055187636,0.34216335540838855,0.01839587932303164,0,0,0.058130978660779986,0.07358351729212656,0,0.0014716703458425313,0.005886681383370125,0,0,0,"c(-93.638925, 42.060779)",0.05161640858462374,0.16924748709589785,0.24531377343113284,0.22548220592230372,0.019831567508829123,0.0032599837000814994,0.004074979625101874,0.013039934800325998,0.09182287421896224,0.14995925020374898,0,0.022819885900570498,0.0035316490084216245,0,0,"c(-93.638925, 42.060779)"
7,One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,4920,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,722,1338,GasA,Excellent,Y,SBrkr,1338,0,1338,1,0,2,0,2,1,6,Typ,0,Attchd,Fin,2,582,Typical,Paved,0,0,170,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,213500,5.32939787936104,2551.82237664759,6328.59877917449,1892.4277808448,4824.0946108215,8530.56952404769,2923.99761453828,2295.54219017438,6795.99737944338,Stone_Broo,0.2722222222222222,0.20833333333333334,0.2361111111111111,0.019444444444444445,0,0,0.03611111111111111,0,0,0.10277777777777777,0.04722222222222222,0.07777777777777778,0,0,NA,"c(-93.633792, 42.062978)",0.15735294117647058,0.17647058823529413,0.2,0.2338235294117647,0.009558823529411765,0.008088235294117648,0.010294117647058823,0.10220588235294117,0.011029411764705883,0,0.05367647058823529,0.028676470588235293,0.008823529411764706,0,0,"c(-93.633792, 42.062978)",0.14208095626188535,0.15810920945395274,0.23227383863080683,0.17277913610431947,0.005161640858462374,0.010594947025264874,0.006791632708503124,0.027709861450692746,0.11518609073621298,0.07253463732681337,0.006519967400162999,0.04319478402607987,0.007063298016843249,0,0,"c(-93.633792, 42.062978)"
8,One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,5005,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,PConc,Typical,No,ALQ,1,Unf,0,1017,1280,GasA,Excellent,Y,SBrkr,1280,0,1280,0,0,2,0,2,1,5,Typ,0,Attchd,RFn,2,506,Typical,Paved,0,82,0,0,144,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,191500,5.28216877830464,2301.63066093551,6110.15247588163,1715.17293558236,4657.64255481814,8294.36330884551,2720.58298773261,2051.80233293705,6601.14988810693,Stone_Broo,0.24233983286908078,0.31197771587743733,0.3732590529247911,0.022284122562674095,0,0,0,0,0,0.016713091922005572,0,0.033426183844011144,0,0,NA,"c(-93.633826, 42.060728)",0.09667896678966789,0.21697416974169742,0.3047970479704797,0.2826568265682657,0.011808118081180811,0.005904059040590406,0.0036900369003690036,0.042804428044280446,0,0,0.02214022140221402,0.012546125461254613,0,0,0,"c(-93.633826, 42.060728)",0.111863488624052,0.1833694474539545,0.2979414951245937,0.20666305525460454,0.010292524377031419,0.011375947995666305,0.006771397616468039,0.025460455037919827,0.06581798483206934,0.040628385698808236,0.0016251354279523294,0.03358613217768147,0.004604550379198266,0,0,"c(-93.633826, 42.060728)"
9,One_Story_PUD_1946_and_Newer,Residential_Low_Density,39,5389,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,415,1595,GasA,Excellent,Y,SBrkr,1616,0,1616,1,0,2,0,2,1,5,Typ,1,Attchd,RFn,2,608,Typical,Paved,237,152,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,236500,5.37383114507383,2351.46535602542,6188.79565022538,1687.99001254782,4747.43601131613,8309.77764890357,2709.18753272329,2077.37695615353,6686.55224443351,Stone_Broo,0.24930747922437674,0.28254847645429365,0.3296398891966759,0.0221606648199446,0,0,0,0,0,0.036011080332409975,0.019390581717451522,0.060941828254847646,0,0,NA,"c(-93.632852, 42.06112)",0.13897058823529412,0.21544117647058825,0.27794117647058825,0.25735294117647056,0.008823529411764706,0.011764705882352941,0.006617647058823529,0.04338235294117647,0,0,0.02426470588235294,0.015441176470588236,0,0,0,"c(-93.632852, 42.06112)",0.12167300380228137,0.17409016838674635,0.2930472569255839,0.19853340575774037,0.0076045627376425855,0.011950027159152634,0.006789788158609452,0.027430744160782183,0.07251493753394894,0.03503530689842477,0.009234111895708854,0.035850081477457905,0.0062466051059206955,0,0,"c(-93.632852, 42.06112)"
10,Two_Story_1946_and_Newer,Residential_Low_Density,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,994,994,GasA,Good,Y,SBrkr,1028,776,1804,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,442,Typical,Paved,140,60,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,189000,5.27646180417324,2146.0514084612,5750.13805686559,1962.37076344518,4218.11712967201,8287.60059197682,2876.85458375391,2039.35388389,6194.71161328512,Gilbert,0.12154696132596685,0.44751381215469616,0.4198895027624309,0.011049723756906077,0,0,0,0,0,0,0,0,0,0,NA,"c(-93.639068, 42.059193)",0,0.17828319882611884,0.34409391049156274,0.38517975055025677,0.02641232575201761,0,0,0.027879677182685254,0.02421129860601614,0,0,0.013939838591342627,0,0,0,"c(-93.639068, 42.059193)",0.03254678600488202,0.1920260374288039,0.28098725250881473,0.25413615405478707,0.024410089503661515,0.001898562516951451,0.0016273393002441008,0.011120151885001357,0.05098996474098183,0.13805261730404123,0,0.011662598318416057,5.424464334147003e-4,0,0,"c(-93.639068, 42.059193)"
