"","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Cond","Foundation","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Functional","Fireplaces","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price","Longitude","Latitude","Log_Sale_Price","dist_HS","dist_MS","dist_PreSch","dist_ES_Sawyer","dist_ES_Mitchell","dist_ES_Meeker","dist_ES_Fellows","dist_ES_Edwards"
"1","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",141,31770,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average",1960,1960,"Hip","CompShg","BrkFace","Plywood","Stone",112,"Typical","CBlock","Good","Gd","BLQ",2,"Unf",0,441,1080,"GasA","Fair","Y","SBrkr",1656,0,1656,1,0,1,0,3,1,7,"Typ",2,"Attchd","Fin",2,528,"Typical","Partial_Pavement",210,62,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",215000,-93.619754,42.054035,5.3324384599156,2028.60634072791,6214.0714323418,431.101738122045,5241.23729463623,7260.67483697661,1511.05233981193,1425.89886875249,6920.95475073156
"2","One_Story_1946_and_Newer_All_Styles","Residential_High_Density",80,11622,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","North_Ames","Feedr","Norm","OneFam","One_Story","Above_Average",1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","CBlock","Typical","No","Rec",6,"LwQ",144,270,882,"GasA","Typical","Y","SBrkr",896,0,896,0,0,1,0,2,1,5,"Typ",0,"Attchd","Unf",1,730,"Typical","Paved",140,0,0,0,120,0,"No_Pool","Minimum_Privacy","None",0,6,2010,"WD ","Normal",105000,-93.619756,42.053014,5.02118929906994,1942.91950780444,6131.80799936826,321.28358325919,5193.53923275966,7149.70529027072,1403.20603399629,1327.27769060484,6850.91884485178
"3","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",81,14267,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average",1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"Typical","CBlock","Typical","No","ALQ",1,"Unf",0,406,1329,"GasA","Typical","Y","SBrkr",1329,0,1329,0,0,1,1,3,1,6,"Typ",0,"Attchd","Unf",1,312,"Typical","Paved",393,36,0,0,0,0,"No_Pool","No_Fence","Gar2",12500,6,2010,"WD ","Normal",172000,-93.6193873,42.052659,5.23552844690755,1934.77598117578,6124.81992027996,275.04767223555,5205.39564040504,7104.55912504057,1356.00205783986,1309.99710013312,6851.14962475934
"4","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",93,11160,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average",1968,1968,"Hip","CompShg","BrkFace","BrkFace","None",0,"Typical","CBlock","Typical","No","ALQ",1,"Unf",0,1045,2110,"GasA","Excellent","Y","SBrkr",2110,0,2110,1,0,2,1,3,1,8,"Typ",2,"Attchd","Fin",2,522,"Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",244000,-93.61732,42.051245,5.38738982633873,1952.89437605446,6136.8933399478,152.649043438632,5303.13319598439,6915.58397795761,1158.26400694053,1292.02484382595,6896.0285087107
"5","Two_Story_1946_and_Newer","Residential_Low_Density",74,13830,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Average",1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","PConc","Typical","No","GLQ",3,"Unf",0,137,928,"GasA","Good","Y","SBrkr",928,701,1629,0,0,2,1,3,1,6,"Typ",1,"Attchd","Fin",2,482,"Typical","Paved",212,34,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,3,2010,"WD ","Normal",189900,-93.638933,42.060899,5.27852496473702,2332.99486231238,5924.05597286777,2055.97863115036,4355.20922077106,8459.46984134522,3005.26454322344,2206.30800201436,6351.76031764786
"6","Two_Story_1946_and_Newer","Residential_Low_Density",78,9978,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average",1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"Typical","PConc","Typical","No","GLQ",3,"Unf",0,324,926,"GasA","Excellent","Y","SBrkr",926,678,1604,0,0,2,1,3,1,7,"Typ",1,"Attchd","Fin",2,470,"Typical","Paved",360,36,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",195500,-93.638925,42.060779,5.29114676173189,2319.65362271835,5912.44509480902,2047.77019127254,4346.48431109079,8446.81828613629,2995.030907306,2193.84734249612,6341.53044181167
"7","One_Story_PUD_1946_and_Newer","Residential_Low_Density",41,4920,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Average",2001,2001,"Gable","CompShg","CemntBd","CmentBd","None",0,"Typical","PConc","Typical","Mn","GLQ",3,"Unf",0,722,1338,"GasA","Excellent","Y","SBrkr",1338,0,1338,1,0,2,0,2,1,6,"Typ",0,"Attchd","Fin",2,582,"Typical","Paved",0,0,170,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",213500,-93.633792,42.062978,5.32939787936104,2551.82237664759,6328.59877917449,1892.4277808448,4824.0946108215,8530.56952404769,2923.99761453828,2295.54219017438,6795.99737944338
"8","One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,5005,"Pave","No_Alley_Access","Slightly_Irregular","HLS","AllPub","Inside","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Average",1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Typical","PConc","Typical","No","ALQ",1,"Unf",0,1017,1280,"GasA","Excellent","Y","SBrkr",1280,0,1280,0,0,2,0,2,1,5,"Typ",0,"Attchd","RFn",2,506,"Typical","Paved",0,82,0,0,144,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",191500,-93.633826,42.060728,5.28216877830464,2301.63066093551,6110.15247588163,1715.17293558236,4657.64255481814,8294.36330884551,2720.58298773261,2051.80233293705,6601.14988810693
"9","One_Story_PUD_1946_and_Newer","Residential_Low_Density",39,5389,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Stone_Brook","Norm","Norm","TwnhsE","One_Story","Average",1995,1996,"Gable","CompShg","CemntBd","CmentBd","None",0,"Typical","PConc","Typical","No","GLQ",3,"Unf",0,415,1595,"GasA","Excellent","Y","SBrkr",1616,0,1616,1,0,2,0,2,1,5,"Typ",1,"Attchd","RFn",2,608,"Typical","Paved",237,152,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",236500,-93.632852,42.06112,5.37383114507383,2351.46535602542,6188.79565022538,1687.99001254782,4747.43601131613,8309.77764890357,2709.18753272329,2077.37695615353,6686.55224443351
"10","Two_Story_1946_and_Newer","Residential_Low_Density",60,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Average",1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","PConc","Typical","No","Unf",7,"Unf",0,994,994,"GasA","Good","Y","SBrkr",1028,776,1804,0,0,2,1,3,1,7,"Typ",1,"Attchd","Fin",2,442,"Typical","Paved",140,60,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",189000,-93.639068,42.059193,5.27646180417324,2146.0514084612,5750.13805686559,1962.37076344518,4218.11712967201,8287.60059197682,2876.85458375391,2039.35388389,6194.71161328512
